taxa de cruzamento, taxa de mutação, tamanho da população, número de gerações, algoritmo de cruzamento, fitness, média
80,1,50,100,BLXab,1.1102230246251565e-14,0.22005084132708114
80,1,100,100,BLXa,2.1715962361668062e-13,0.12847355899663482
80,1,100,100,BLXab,4.440892098500626e-16,0.053187029068487796
80,5,25,25,BLXa,0.48721958228203066,1.1773456493138779
80,5,25,25,BLXab,0.031109851588784654,0.6193708914229833
80,5,50,25,BLXa,0.0016733927387098113,0.967989310328078
80,5,50,25,BLXab,0.0034740828709520777,0.7990560608118438
80,5,100,25,BLXa,0.002312468010675861,0.3205352575844885
80,5,100,25,BLXab,1.5490581443788898e-05,0.15741064382927392
80,5,25,50,BLXa,0.025867347176550926,1.1698324301733047
80,5,25,50,BLXab,5.07355964178835e-05,0.4505322823851734
80,5,50,50,BLXa,3.8684296602031765e-05,0.4881094598071028
80,5,50,50,BLXab,3.2701743433172226e-06,0.17189093560310031
80,5,100,50,BLXa,1.9288308283904598e-08,0.12260808737467865
80,5,100,50,BLXab,5.5328339687577e-08,0.36052168568229875
80,5,25,100,BLXa,0.00933062262690898,0.4066521713131495
80,5,25,100,BLXab,7.476654850790965e-10,0.15075391482698522
80,5,50,100,BLXa,8.599387868457598e-11,0.17026389139818993
80,5,50,100,BLXab,4.440892098500626e-16,0.19648075213068253
80,5,100,100,BLXa,5.0182080713057076e-14,0.05460937273249693
80,5,100,100,BLXab,4.440892098500626e-16,0.08021237570372679
80,10,25,25,BLXa,0.3512378050425373,1.3287363298789385
80,10,25,25,BLXab,0.06705560072289574,1.0899302448593715
80,10,50,25,BLXa,0.0031896296580495864,0.6862149998102001
80,10,50,25,BLXab,0.00021365454924593408,0.7045677184157042
80,10,100,25,BLXa,0.00038748093844676035,0.6795247134898145
80,10,100,25,BLXab,8.44740930401322e-05,0.6775345310303119
80,10,25,50,BLXa,9.182719236067172e-05,0.409630337257734
80,10,25,50,BLXab,2.1792520232821744e-08,0.6073055140883274
80,10,50,50,BLXa,0.0003486491624262733,0.38811202831627384
80,10,50,50,BLXab,9.97363330146328e-07,0.2974754155861646
80,10,100,50,BLXa,1.43876758063044e-07,0.2091982134922176
80,10,100,50,BLXab,1.9172619047935768e-10,0.22276372129209537
80,10,25,100,BLXa,4.127069219705959e-08,0.28647883235546745
80,10,25,100,BLXab,4.5183217611821647e-08,0.12698326296491486
80,10,50,100,BLXa,2.1269785932531704e-10,0.20969487904384443
80,10,50,100,BLXab,3.9968028886505635e-15,0.11918186162467782
80,10,100,100,BLXa,3.952393967665557e-14,0.08331019176609238
80,10,100,100,BLXab,4.440892098500626e-16,0.0786647309734087
100,1,25,25,BLXa,0.0028014502498732163,0.9935286372229339
100,1,25,25,BLXab,0.0022532242685255888,1.168439860446136
100,1,50,25,BLXa,0.0007195023112029908,0.21476787086500282
100,1,50,25,BLXab,0.00047450072547805533,0.6595089153836392
100,1,100,25,BLXa,0.00024369440032190326,0.14399352831454437
100,1,100,25,BLXab,4.092807563127465e-05,0.40114741199968895
100,1,25,50,BLXa,0.01943208489466075,0.6543397799504094
