execução, taxa de cruzamento, taxa de mutação, número de gerações, número de indivíduos, cruzamento, fitness, média
3,100,5,100,100,BLXab,4.440892098500626e-16,0.06608730709407327
4,100,5,100,100,BLXab,4.440892098500626e-16,0.0932747179864319
5,100,5,100,100,BLXab,4.440892098500626e-16,0.08439271764505682
6,100,5,100,100,BLXab,4.440892098500626e-16,0.08909560974155711
7,100,5,100,100,BLXab,4.440892098500626e-16,0.025755452314097392
8,100,5,100,100,BLXab,4.440892098500626e-16,0.10204220251464984
9,100,5,100,100,BLXab,4.440892098500626e-16,0.08225215002096752
0,100,10,100,100,BLXa,4.440892098500626e-16,0.1222380657051262
1,100,10,100,100,BLXa,3.9968028886505635e-15,0.16315994192877142
2,100,10,100,100,BLXa,3.9968028886505635e-15,0.04002602513463687
3,100,10,100,100,BLXa,4.440892098500626e-16,0.03207154778030384
4,100,10,100,100,BLXa,4.440892098500626e-16,0.13764607173391627
5,100,10,100,100,BLXa,4.440892098500626e-16,0.04832117743067359
6,100,10,100,100,BLXa,4.440892098500626e-16,0.0395777930966368
7,100,10,100,100,BLXa,0.005054023675949981,0.1695196610481307
8,100,10,100,100,BLXa,4.440892098500626e-16,0.1683726182217881
9,100,10,100,100,BLXa,5.688782778179302e-13,0.1402841743722194
0,100,10,100,100,BLXab,4.440892098500626e-16,0.007263401261804834
1,100,10,100,100,BLXab,4.440892098500626e-16,0.028173196421309415
2,100,10,100,100,BLXab,4.440892098500626e-16,0.04620019268767456
3,100,10,100,100,BLXab,4.440892098500626e-16,0.09454151316334693
4,100,10,100,100,BLXab,4.440892098500626e-16,0.14370674900993013
5,100,10,100,100,BLXab,4.440892098500626e-16,0.09572617933324545
6,100,10,100,100,BLXab,4.440892098500626e-16,0.11385491269160207
7,100,10,100,100,BLXab,4.440892098500626e-16,0.10951399562861214
8,100,10,100,100,BLXab,4.440892098500626e-16,0.05941950890854796
9,100,10,100,100,BLXab,4.440892098500626e-16,0.055610743824897585
